n_calib,width_mean,width_median,width_q90,width_q95,coverage,n_raw_intervals,n_intervals,rate_term,rep
1000,0.709235,0.685,0.76,0.78,1.0,393,393,0.19044912476405548,90
1000,0.7010500000000001,0.68,0.75,0.76,1.0,454,454,0.19044912476405548,91
1000,0.6952949999999999,0.69,0.73,0.74,1.0,475,475,0.19044912476405548,92
1000,0.7131460000000002,0.7,0.76,0.76,1.0,423,423,0.19044912476405548,93
1000,0.6961050000000001,0.69,0.75,0.76,1.0,454,454,0.19044912476405548,94
1000,0.699225,0.68,0.78,0.78,1.0,416,416,0.19044912476405548,95
1000,0.7096780000000001,0.71,0.75,0.76,1.0,410,410,0.19044912476405548,96
1000,0.7139500000000001,0.6900000000000001,0.78,0.79,1.0,380,380,0.19044912476405548,97
1000,0.707131,0.6900000000000001,0.76,0.76,1.0,439,439,0.19044912476405548,98
1000,0.7097420000000001,0.7,0.78,0.79,1.0,406,406,0.19044912476405548,99
3000,0.512561,0.51,0.54,0.54,1.0,1215,1215,0.13870903698649753,0
3000,0.49272999999999995,0.48,0.53,0.53,1.0,1249,1249,0.13870903698649753,1
3000,0.5123139999999999,0.51,0.54,0.54,1.0,1218,1218,0.13870903698649753,2
3000,0.515785,0.53,0.53,0.53,1.0,1179,1179,0.13870903698649753,3
3000,0.5159870000000001,0.52,0.5499999999999999,0.55,1.0,1206,1206,0.13870903698649753,4
3000,0.50332,0.5,0.5499999999999999,0.55,1.0,1279,1279,0.13870903698649753,5
3000,0.5013350000000001,0.5,0.53,0.53,1.0,1295,1295,0.13870903698649753,6
3000,0.4949400000000001,0.49000000000000005,0.52,0.52,1.0,1295,1295,0.13870903698649753,7
3000,0.5076309999999999,0.51,0.52,0.52,1.0,1242,1242,0.13870903698649753,8
3000,0.523077,0.52,0.5700000000000001,0.5700000000000001,1.0,1178,1178,0.13870903698649753,9
3000,0.514437,0.52,0.53,0.53,1.0,1192,1192,0.13870903698649753,10
3000,0.5054790000000001,0.52,0.53,0.53,1.0,1226,1226,0.13870903698649753,11
3000,0.485037,0.48,0.5,0.5,1.0,1280,1280,0.13870903698649753,12
3000,0.48725599999999997,0.48000000000000004,0.51,0.51,1.0,1357,1357,0.13870903698649753,13
3000,0.526528,0.54,0.5599999999999999,0.56,1.0,1158,1158,0.13870903698649753,14
3000,0.51079,0.5,0.5499999999999999,0.55,1.0,1239,1239,0.13870903698649753,15
3000,0.509985,0.5,0.55,0.55,1.0,1214,1214,0.13870903698649753,16
3000,0.513224,0.51,0.55,0.55,1.0,1229,1229,0.13870903698649753,17
3000,0.5240370000000001,0.54,0.55,0.55,1.0,1127,1127,0.13870903698649753,18
3000,0.50056,0.51,0.52,0.52,1.0,1269,1269,0.13870903698649753,19
3000,0.480167,0.47,0.51,0.51,1.0,1369,1369,0.13870903698649753,20
3000,0.5142950000000001,0.52,0.54,0.54,1.0,1220,1220,0.13870903698649753,21
3000,0.5164120000000001,0.52,0.55,0.55,1.0,1196,1196,0.13870903698649753,22
3000,0.5140610000000001,0.52,0.54,0.54,1.0,1207,1207,0.13870903698649753,23
3000,0.495133,0.49999999999999994,0.51,0.51,1.0,1328,1328,0.13870903698649753,24
3000,0.5094650000000001,0.51,0.56,0.56,1.0,1225,1225,0.13870903698649753,25
3000,0.5058720000000001,0.51,0.53,0.53,1.0,1256,1256,0.13870903698649753,26
3000,0.4882860000000001,0.49,0.51,0.51,1.0,1341,1341,0.13870903698649753,27
3000,0.496742,0.5,0.52,0.52,1.0,1307,1307,0.13870903698649753,28
3000,0.488249,0.49000000000000005,0.5,0.51,1.0,1330,1330,0.13870903698649753,29
3000,0.5228210000000001,0.53,0.56,0.56,1.0,1163,1163,0.13870903698649753,30
3000,0.4890110000000001,0.48,0.51,0.52,1.0,1338,1338,0.13870903698649753,31
3000,0.495771,0.49000000000000005,0.53,0.53,1.0,1316,1316,0.13870903698649753,32
3000,0.5135980000000001,0.52,0.53,0.54,1.0,1196,1196,0.13870903698649753,33
3000,0.5071700000000001,0.5,0.55,0.55,1.0,1226,1226,0.13870903698649753,34
3000,0.511936,0.5,0.55,0.55,1.0,1226,1226,0.13870903698649753,35
