Method,Average length,ECE,ECE mean p-hat,"Coverage [0,1]",Coverage p*,seed
PICPI,0.1401418775510204,0.0069613044736187,0.0081442718248159,1.0,0.8913,45
Split conformal prediction,0.8760793276963843,0.2768351272768264,0.0200468042456358,,1.0,45
Calibration-based interval,0.02,0.0098949215861587,0.0086432042266676,0.66,0.314,45
Fixed-width binning,0.02,0.0084661686872706,0.0086228533315396,1.0,0.3173,45
Simultaneous confidence interval,0.4151071939345636,0.0682098926596013,0.0246809784051843,,1.0,46
PICPI,0.1156744081632653,0.0051315260003302,0.0035503342304934,1.0,0.8637,46
Split conformal prediction,0.8683824565521995,0.2695199721329708,0.0186308863416362,,1.0,46
Calibration-based interval,0.02,0.0051826944898894,0.0038137438951735,0.68,0.3295,46
Fixed-width binning,0.02,0.0038316755761668,0.0037837349109467,1.0,0.3316,46
Simultaneous confidence interval,0.4050665321214747,0.0579253072610818,0.0234211299688397,,1.0,47
PICPI,0.1190877959183673,0.0067817497019783,0.0069425627956311,1.0,0.8686,47
Split conformal prediction,0.8694626742467692,0.2689137276546464,0.0178722160375914,,1.0,47
Calibration-based interval,0.02,0.0102454761701319,0.0075309167817949,0.58,0.323,47
Fixed-width binning,0.02,0.0074325763843953,0.0075097117669825,1.0,0.356,47
Simultaneous confidence interval,0.4048819706564479,0.0660147462648908,0.0374701207600726,,1.0,48
PICPI,0.1178422040816326,0.0091539880461133,0.0089854193597789,1.0,0.7136,48
Split conformal prediction,0.866324990484834,0.2662153128729146,0.0279026533772882,,1.0,48
Calibration-based interval,0.02,0.0132250076313081,0.009502467503927,0.52,0.2556,48
Fixed-width binning,0.02,0.0101097407074336,0.0100834604461511,1.0,0.2686,48
Simultaneous confidence interval,0.4120532120247122,0.0710006571277921,0.0339682841222761,,1.0,49
PICPI,0.1148518367346938,0.006727151046635,0.0053129214854004,1.0,0.7759,49
Split conformal prediction,0.8635405579213111,0.262021765847142,0.0255204878066982,,1.0,49
Calibration-based interval,0.02,0.0090944667899134,0.0061018591887468,0.5,0.2539,49
Fixed-width binning,0.02,0.0065553943334199,0.0065902699647622,1.0,0.2682,49
Simultaneous confidence interval,0.4054761066292752,0.0627262744655718,0.0281767975702446,,1.0,50
PICPI,0.1288746530612245,0.0074290787026093,0.0063767918130098,1.0,0.8535,50
Split conformal prediction,0.8817015226742678,0.2823283660566306,0.0198353129938763,,1.0,50
Calibration-based interval,0.02,0.0073714328168408,0.0060236033706905,0.66,0.3206,50
Fixed-width binning,0.02,0.0071222084253367,0.0071617772236755,1.0,0.3233,50
Simultaneous confidence interval,0.4128172315915657,0.0672602435428803,0.0271706845050661,,1.0,51
PICPI,0.1238135918367347,0.0095885907501408,0.0083600842278872,1.0,0.8612,51
Split conformal prediction,0.8685190759143819,0.2697521565457911,0.0196029675700283,,1.0,51
Calibration-based interval,0.02,0.0083336966830042,0.0084007949641738,0.7,0.3161,51
Fixed-width binning,0.02,0.0095343445920253,0.0095655265452241,1.0,0.3166,51
Simultaneous confidence interval,0.4111668170353189,0.0655740429932543,0.0313151406337251,,1.0,52
PICPI,0.1104038367346939,0.0164133000357853,0.0157319413212265,1.0,0.7761,52
Split conformal prediction,0.878433807881264,0.27745672338826,0.0228998077328622,,1.0,52
Calibration-based interval,0.02,0.0172430364074656,0.0132313823206208,0.38,0.2687,52
Fixed-width binning,0.02,0.0166310022691503,0.016676339158696,1.0,0.2958,52
Simultaneous confidence interval,0.4030541970817323,0.0618739267806738,0.0375273968138703,,1.0,53
